condition,metric,fresh,pretrained,delta,ci_low,ci_high,p,d
full,reward,27.8975,27.695,-0.2025,-2.082608,1.677608,0.832806,-0.014927
full,first_correct_tick,1.08,1.175,0.095,0.014465,0.175535,0.020775,0.163486
full,invalid_actions,1.31,1.645,0.335,0.094638,0.575362,0.006301,0.193161
full,final_energy,120.2255,163.192,42.9665,40.415098,45.517902,0.0,2.333953
full,prediction_error,0.59125,0.703125,0.111875,0.057418,0.166332,5.7e-05,0.284721
full,transfer_uses,9.875,24.16,14.285,13.257273,15.312727,0.0,1.926387
full,transfer_strength,19.105311,31.695495,12.590184,9.458092,15.722276,0.0,0.557107
full,transfer_precision,0.857997,0.860462,0.002465,-0.032037,0.036967,0.888626,0.009903
no_action_role,reward,27.8975,26.67,-1.2275,-3.067465,0.612465,0.191016,-0.09246
no_action_role,first_correct_tick,1.08,1.165,0.085,0.006677,0.163323,0.033413,0.150408
no_action_role,invalid_actions,1.31,1.645,0.335,0.095442,0.574558,0.006128,0.19381
no_action_role,final_energy,120.2255,162.2615,42.036,39.510281,44.561719,0.0,2.306627
no_action_role,prediction_error,0.59125,0.675833,0.084583,0.029959,0.139207,0.002406,0.214606
no_action_role,transfer_uses,9.875,23.975,14.1,13.090693,15.109307,0.0,1.936142
no_action_role,transfer_strength,9.92593,12.076472,2.150542,0.654122,3.646963,0.004851,0.199175
no_action_role,transfer_precision,0.857997,0.859342,0.001345,-0.033865,0.036556,0.940316,0.005294
no_prior_decay,reward,27.8975,27.595,-0.3025,-2.198976,1.593976,0.75456,-0.022106
no_prior_decay,first_correct_tick,1.08,1.175,0.095,0.014465,0.175535,0.020775,0.163486
no_prior_decay,invalid_actions,1.31,1.645,0.335,0.095039,0.574961,0.006214,0.193484
no_prior_decay,final_energy,120.2255,163.9285,43.703,41.095525,46.310475,0.0,2.322909
no_prior_decay,prediction_error,0.59125,0.698333,0.107083,0.053012,0.161154,0.000104,0.274473
no_prior_decay,transfer_uses,9.875,24.2,14.325,13.288989,15.361011,0.0,1.916334
no_prior_decay,transfer_strength,19.105311,31.967089,12.861778,9.702744,16.020812,0.0,0.564271
no_prior_decay,transfer_precision,0.857997,0.861201,0.003204,-0.031236,0.037643,0.85532,0.012893
no_pattern_transfer,reward,27.8975,26.67,-1.2275,-3.067465,0.612465,0.191016,-0.09246
no_pattern_transfer,first_correct_tick,1.08,1.165,0.085,0.006677,0.163323,0.033413,0.150408
no_pattern_transfer,invalid_actions,1.31,1.645,0.335,0.095442,0.574558,0.006128,0.19381
no_pattern_transfer,final_energy,120.2255,162.3195,42.094,39.573524,44.614476,0.0,2.314615
no_pattern_transfer,prediction_error,0.59125,0.675833,0.084583,0.029959,0.139207,0.002406,0.214606
no_pattern_transfer,transfer_uses,0.0,0.0,0.0,0.0,0.0,1.0,0.0
no_pattern_transfer,transfer_strength,0.0,0.0,0.0,0.0,0.0,1.0,0.0
no_pattern_transfer,transfer_precision,0.0,0.0,0.0,0.0,0.0,1.0,0.0
no_prediction,reward,26.22,26.8625,0.6425,-1.004818,2.289818,0.444596,0.054055
no_prediction,first_correct_tick,1.08,1.365,0.285,0.182544,0.387456,0.0,0.38552
no_prediction,invalid_actions,1.795,2.525,0.73,0.448423,1.011577,0.0,0.359308
no_prediction,final_energy,117.0235,156.902,39.8785,37.405062,42.351938,0.0,2.234492
no_prediction,prediction_error,2.63375,2.869792,0.236042,0.115473,0.35661,0.000125,0.271328
no_prediction,transfer_uses,7.85,17.005,9.155,8.211318,10.098682,0.0,1.34454
no_prediction,transfer_strength,17.16675,24.756056,7.589306,4.415381,10.76323,3e-06,0.331395
no_prediction,transfer_precision,0.797271,0.777266,-0.020005,-0.06247,0.02246,0.355822,-0.065291
empty_pretrain,reward,27.8975,26.2475,-1.65,-3.29762,-0.00238,0.049666,-0.138793
empty_pretrain,first_correct_tick,1.08,1.115,0.035,-0.026162,0.096162,0.262024,0.079311
empty_pretrain,invalid_actions,1.31,1.135,-0.175,-0.395315,0.045315,0.119504,-0.110087
empty_pretrain,final_energy,120.2255,137.306,17.0805,15.205783,18.955217,0.0,1.262716
empty_pretrain,prediction_error,0.59125,0.572708,-0.018542,-0.077221,0.040137,0.535698,-0.043793
empty_pretrain,transfer_uses,9.875,10.165,0.29,-0.306409,0.886409,0.340571,0.06739
empty_pretrain,transfer_strength,19.105311,19.080266,-0.025045,-2.611608,2.561518,0.984858,-0.001342
empty_pretrain,transfer_precision,0.857997,0.917335,0.059338,0.024318,0.094357,0.000897,0.234834
random_pretrain,reward,27.8975,27.8975,0.0,-1.743512,1.743512,1.0,-0.0
random_pretrain,first_correct_tick,1.08,1.115,0.035,-0.034993,0.104993,0.327037,0.069303
random_pretrain,invalid_actions,1.31,1.435,0.125,-0.115226,0.365226,0.307788,0.072116
random_pretrain,final_energy,120.2255,117.979391,-2.246109,-4.296888,-0.19533,0.031818,-0.151793
random_pretrain,prediction_error,0.59125,0.622708,0.031458,-0.024402,0.087319,0.269684,0.07805
random_pretrain,transfer_uses,9.875,17.31,7.435,6.704724,8.165276,0.0,1.411027
random_pretrain,transfer_strength,19.105311,25.404968,6.299657,3.420807,9.178507,1.8e-05,0.303277
random_pretrain,transfer_precision,0.857997,0.878727,0.02073,-0.015348,0.056809,0.260084,0.079634
ruleworld_pretrain,reward,27.8975,39.495,11.5975,10.268314,12.926686,0.0,1.20926
ruleworld_pretrain,first_correct_tick,1.08,1.095,0.015,-0.046319,0.076319,0.631612,0.033903
ruleworld_pretrain,invalid_actions,1.31,1.095,-0.215,-0.433308,0.003308,0.05357,-0.136493
ruleworld_pretrain,final_energy,120.2255,170.726,50.5005,48.823612,52.177388,0.0,4.17381
ruleworld_pretrain,prediction_error,0.59125,0.054583,-0.536667,-0.58862,-0.484713,0.0,-1.431639
ruleworld_pretrain,transfer_uses,9.875,15.605,5.73,5.073778,6.386222,0.0,1.210165
ruleworld_pretrain,transfer_strength,19.105311,33.97772,14.872409,12.985825,16.758994,0.0,1.092562
ruleworld_pretrain,transfer_precision,0.857997,0.701253,-0.156744,-0.206399,-0.107089,0.0,-0.43749
