condition,metric,fresh,pretrained,delta,ci_low,ci_high,p,d
full,reward,4.1,3.9,-0.2,-2.168,1.768,0.802587,-0.111803
full,first_correct_tick,1.0,1.2,0.2,-0.292,0.692,0.317311,0.447214
full,invalid_actions,0.6,0.4,-0.2,-1.120448,0.720448,0.59298,-0.239046
full,final_energy,101.48,106.94,5.46,0.547632,10.372368,0.006253,1.22279
full,prediction_error,1.366667,1.3,-0.066667,-1.631127,1.497794,0.916512,-0.046881
full,transfer_uses,0.8,3.6,2.8,-0.047656,5.647656,0.01557,1.081734
full,transfer_strength,0.975,4.0492,3.0742,-0.06525,6.21365,0.016002,1.07728
full,transfer_precision,0.6,0.866667,0.266667,-0.335908,0.869241,0.276303,0.486864
no_action_role,reward,4.1,3.9,-0.2,-2.168,1.768,0.802587,-0.111803
no_action_role,first_correct_tick,1.0,1.2,0.2,-0.292,0.692,0.317311,0.447214
no_action_role,invalid_actions,0.6,0.4,-0.2,-1.120448,0.720448,0.59298,-0.239046
no_action_role,final_energy,101.48,106.94,5.46,0.547632,10.372368,0.006253,1.22279
no_action_role,prediction_error,1.366667,1.3,-0.066667,-1.631127,1.497794,0.916512,-0.046881
no_action_role,transfer_uses,0.8,3.6,2.8,-0.047656,5.647656,0.01557,1.081734
no_action_role,transfer_strength,0.4875,1.9694,1.4819,-0.281082,3.244882,0.03866,0.924743
no_action_role,transfer_precision,0.6,0.866667,0.266667,-0.335908,0.869241,0.276303,0.486864
no_prior_decay,reward,4.1,3.9,-0.2,-2.168,1.768,0.802587,-0.111803
no_prior_decay,first_correct_tick,1.0,1.2,0.2,-0.292,0.692,0.317311,0.447214
no_prior_decay,invalid_actions,0.6,0.4,-0.2,-1.120448,0.720448,0.59298,-0.239046
no_prior_decay,final_energy,101.48,106.94,5.46,0.547632,10.372368,0.006253,1.22279
no_prior_decay,prediction_error,1.366667,1.3,-0.066667,-1.631127,1.497794,0.916512,-0.046881
no_prior_decay,transfer_uses,0.8,3.6,2.8,-0.047656,5.647656,0.01557,1.081734
no_prior_decay,transfer_strength,0.975,4.0492,3.0742,-0.06525,6.21365,0.016002,1.07728
no_prior_decay,transfer_precision,0.6,0.866667,0.266667,-0.335908,0.869241,0.276303,0.486864
no_pattern_transfer,reward,4.1,3.9,-0.2,-2.168,1.768,0.802587,-0.111803
no_pattern_transfer,first_correct_tick,1.0,1.2,0.2,-0.292,0.692,0.317311,0.447214
no_pattern_transfer,invalid_actions,0.6,0.4,-0.2,-1.120448,0.720448,0.59298,-0.239046
no_pattern_transfer,final_energy,101.48,106.94,5.46,0.547632,10.372368,0.006253,1.22279
no_pattern_transfer,prediction_error,1.366667,1.3,-0.066667,-1.631127,1.497794,0.916512,-0.046881
no_pattern_transfer,transfer_uses,0.0,0.0,0.0,0.0,0.0,1.0,0.0
no_pattern_transfer,transfer_strength,0.0,0.0,0.0,0.0,0.0,1.0,0.0
no_pattern_transfer,transfer_precision,0.0,0.0,0.0,0.0,0.0,1.0,0.0
no_prediction,reward,4.1,4.9,0.8,-3.081815,4.681815,0.612169,0.226728
no_prediction,first_correct_tick,1.0,1.2,0.2,-0.292,0.692,0.317311,0.447214
no_prediction,invalid_actions,0.6,0.4,-0.2,-1.120448,0.720448,0.59298,-0.239046
no_prediction,final_energy,101.48,107.86,6.38,0.082016,12.677984,0.012701,1.114472
no_prediction,prediction_error,1.966667,2.033333,0.066667,-0.808854,0.942187,0.851412,0.083771
no_prediction,transfer_uses,0.8,3.8,3.0,0.41993,5.58007,0.004231,1.279204
no_prediction,transfer_strength,0.975,4.8332,3.8582,1.128254,6.588146,0.000508,1.554822
no_prediction,transfer_precision,0.6,0.866667,0.266667,-0.335908,0.869241,0.276303,0.486864
empty_pretrain,reward,4.1,4.2,0.1,-2.044578,2.244578,0.908677,0.051299
empty_pretrain,first_correct_tick,1.0,1.2,0.2,-0.292,0.692,0.317311,0.447214
empty_pretrain,invalid_actions,0.6,0.2,-0.4,-1.384,0.584,0.317311,-0.447214
empty_pretrain,final_energy,101.48,105.64,4.16,-0.9646,9.2846,0.04583,0.893066
empty_pretrain,prediction_error,1.366667,0.9,-0.466667,-1.422943,0.489609,0.229949,-0.536875
empty_pretrain,transfer_uses,0.8,1.4,0.6,-0.384,1.584,0.133614,0.67082
empty_pretrain,transfer_strength,0.975,2.175,1.2,-0.607723,3.007723,0.10247,0.730297
empty_pretrain,transfer_precision,0.6,0.8,0.2,-0.292,0.692,0.317311,0.447214
random_pretrain,reward,4.1,5.0,0.9,-1.968828,3.768828,0.440266,0.345134
