condition,metric,baseline,condition_value,delta,ci_low,ci_high,p,d
one_grid,first_task_success_tick,11.25,11.965,0.715,-0.401411,1.831411,0.20938,0.088761
one_grid,task_completion_rate,0.5,0.42,-0.08,-0.176621,0.016621,0.104625,-0.114752
one_grid,reward,2.5794,2.29115,-0.28825,-0.726478,0.149978,0.197323,-0.091161
one_grid,penalty,5.5305,5.2305,-0.3,-0.626756,0.026756,0.071938,-0.127244
one_grid,invalid_actions,1.845,1.66,-0.185,-0.42768,0.05768,0.135137,-0.105652
one_grid,prediction_error,0.368321,0.313962,-0.054359,-0.109759,0.001041,0.054458,-0.135989
one_grid,transfer_uses,2.675,12.08,9.405,8.633773,10.176227,0.0,1.69012
one_grid,transfer_strength,10.475,16.51849,6.04349,3.463785,8.623195,4e-06,0.324682
one_grid,transfer_precision,0.424986,0.82181,0.396824,0.33122,0.462428,0.0,0.838316
one_grid,final_energy,97.0489,135.82465,38.77575,36.653713,40.897787,0.0,2.532493
two_grid_rules,first_task_success_tick,11.25,10.955,-0.295,-1.390413,0.800413,0.597612,-0.037324
two_grid_rules,task_completion_rate,0.5,0.485,-0.015,-0.114687,0.084687,0.768053,-0.020854
two_grid_rules,reward,2.5794,2.5932,0.0138,-0.434508,0.462108,0.95189,0.004266
two_grid_rules,penalty,5.5305,5.449,-0.0815,-0.410332,0.247332,0.627123,-0.03435
two_grid_rules,invalid_actions,1.845,1.695,-0.15,-0.396889,0.096889,0.233724,-0.084204
two_grid_rules,prediction_error,0.368321,0.353469,-0.014852,-0.070434,0.040731,0.600472,-0.037033
two_grid_rules,transfer_uses,2.675,30.34,27.665,26.529991,28.800009,0.0,3.378101
two_grid_rules,transfer_strength,10.475,41.299887,30.824887,28.109552,33.540223,0.0,1.573327
two_grid_rules,transfer_precision,0.424986,0.848998,0.424012,0.364055,0.483969,0.0,0.980122
two_grid_rules,final_energy,97.0489,128.7715,31.7226,29.513276,33.931924,0.0,1.989988
three_grid_rules_chem,first_task_success_tick,11.25,4.59,-6.66,-7.797571,-5.522429,0.0,-0.811404
three_grid_rules_chem,task_completion_rate,0.5,0.815,0.315,0.22541,0.40459,0.0,0.487296
three_grid_rules_chem,reward,2.5794,4.1577,1.5783,1.175241,1.981359,0.0,0.542703
three_grid_rules_chem,penalty,5.5305,6.2115,0.681,0.359874,1.002126,3.2e-05,0.293909
three_grid_rules_chem,invalid_actions,1.845,1.765,-0.08,-0.323586,0.163586,0.519761,-0.045517
three_grid_rules_chem,prediction_error,0.368321,0.573132,0.204811,0.154031,0.255591,0.0,0.558988
three_grid_rules_chem,transfer_uses,2.675,46.955,44.28,41.964764,46.595236,0.0,2.650656
three_grid_rules_chem,transfer_strength,10.475,74.429987,63.954987,59.17361,68.736364,0.0,1.853798
three_grid_rules_chem,transfer_precision,0.424986,0.829214,0.404228,0.341876,0.46658,0.0,0.898494
three_grid_rules_chem,final_energy,97.0489,163.7473,66.6984,63.199818,70.196982,0.0,2.642192
four_grid_rules_chem_hazard,first_task_success_tick,11.25,3.82,-7.43,-8.398658,-6.461342,0.0,-1.063064
four_grid_rules_chem_hazard,task_completion_rate,0.5,0.875,0.375,0.295868,0.454132,0.0,0.656779
four_grid_rules_chem_hazard,reward,2.5794,4.4155,1.8361,1.478495,2.193705,0.0,0.711596
four_grid_rules_chem_hazard,penalty,5.5305,5.9875,0.457,0.133562,0.780438,0.005617,0.195824
four_grid_rules_chem_hazard,invalid_actions,1.845,1.63,-0.215,-0.477476,0.047476,0.108388,-0.113525
four_grid_rules_chem_hazard,prediction_error,0.368321,0.581591,0.213269,0.165967,0.260572,0.0,0.624862
four_grid_rules_chem_hazard,transfer_uses,2.675,56.615,53.94,51.668005,56.211995,0.0,3.29037
four_grid_rules_chem_hazard,transfer_strength,10.475,77.769368,67.294368,63.294942,71.293794,0.0,2.331966
four_grid_rules_chem_hazard,transfer_precision,0.424986,0.840238,0.415252,0.355076,0.475428,0.0,0.956373
four_grid_rules_chem_hazard,final_energy,97.0489,159.6816,62.6327,59.329055,65.936345,0.0,2.627537
five_grid_rules_chem_hazard_sequences,first_task_success_tick,11.25,3.42,-7.83,-8.865002,-6.794998,0.0,-1.048484
five_grid_rules_chem_hazard_sequences,task_completion_rate,0.5,0.88,0.38,0.293722,0.466278,0.0,0.610417
five_grid_rules_chem_hazard_sequences,reward,2.5794,4.4574,1.878,1.486941,2.269059,0.0,0.665571
five_grid_rules_chem_hazard_sequences,penalty,5.5305,6.2555,0.725,0.409703,1.040297,7e-06,0.318684
five_grid_rules_chem_hazard_sequences,invalid_actions,1.845,1.705,-0.14,-0.399205,0.119205,0.289773,-0.074856
five_grid_rules_chem_hazard_sequences,prediction_error,0.368321,0.611648,0.243326,0.195502,0.291151,0.0,0.705148
five_grid_rules_chem_hazard_sequences,transfer_uses,2.675,85.05,82.375,79.546424,85.203576,0.0,4.036162
five_grid_rules_chem_hazard_sequences,transfer_strength,10.475,89.307158,78.832158,74.7547,82.909616,0.0,2.679507
five_grid_rules_chem_hazard_sequences,transfer_precision,0.424986,0.833,0.408014,0.348165,0.467863,0.0,0.944843
five_grid_rules_chem_hazard_sequences,final_energy,97.0489,164.03985,66.99095,62.996453,70.985447,0.0,2.324316
same_domain_logic,first_task_success_tick,11.25,10.65,-0.6,-1.836104,0.636104,0.341413,-0.067272
same_domain_logic,task_completion_rate,0.5,0.455,-0.045,-0.147381,0.057381,0.388969,-0.060916
same_domain_logic,reward,2.5794,2.4831,-0.0963,-0.546975,0.354375,0.675354,-0.029614
same_domain_logic,penalty,5.5305,5.212,-0.3185,-0.650603,0.013603,0.060147,-0.132916
same_domain_logic,invalid_actions,1.845,1.585,-0.26,-0.517787,-0.002213,0.048061,-0.139783
same_domain_logic,prediction_error,0.368321,0.277164,-0.091157,-0.148021,-0.034293,0.001678,-0.222176
same_domain_logic,transfer_uses,2.675,8.575,5.9,5.136331,6.663669,0.0,1.07075
same_domain_logic,transfer_strength,10.475,33.172083,22.697083,19.618325,25.775842,0.0,1.021729
same_domain_logic,transfer_precision,0.424986,0.453833,0.028847,-0.055519,0.113212,0.50275,0.047388
same_domain_logic,final_energy,97.0489,93.328,-3.7209,-4.412427,-3.029373,0.0,-0.745727
