condition,metric,baseline,condition_value,delta,ci_low,ci_high,p,d
grid_baseline,first_task_success_tick,11.25,11.555,0.305,-0.821894,1.431894,0.595776,0.037511
grid_baseline,task_completion_rate,0.5,0.455,-0.045,-0.138512,0.048512,0.345581,-0.066694
grid_baseline,reward,2.5794,2.44025,-0.13915,-0.561027,0.282727,0.51797,-0.045713
grid_baseline,penalty,5.5305,5.4075,-0.123,-0.444349,0.198349,0.453127,-0.053048
grid_baseline,invalid_actions,1.845,1.755,-0.09,-0.333519,0.153519,0.468833,-0.051221
grid_baseline,prediction_error,0.368661,0.351391,-0.01727,-0.073388,0.038849,0.546402,-0.04265
grid_baseline,transfer_uses,2.675,12.115,9.44,8.637789,10.242211,0.0,1.630888
grid_baseline,transfer_strength,10.475,17.635738,7.160738,4.462207,9.859269,0.0,0.367766
grid_baseline,transfer_precision,0.424986,0.809493,0.384507,0.318515,0.450499,0.0,0.807517
grid_baseline,final_energy,97.0489,135.79675,38.74785,36.624323,40.871377,0.0,2.528896
grid_metacog,first_task_success_tick,11.25,13.61,2.36,1.414893,3.305107,1e-06,0.346076
grid_metacog,task_completion_rate,0.5,0.295,-0.205,-0.298512,-0.111488,1.7e-05,-0.303828
grid_metacog,reward,2.5794,1.6931,-0.8863,-1.31046,-0.46214,4.2e-05,-0.289595
grid_metacog,penalty,5.5305,3.972,-1.5585,-1.861414,-1.255586,0.0,-0.713064
grid_metacog,invalid_actions,1.845,0.65,-1.195,-1.405575,-0.984425,0.0,-0.786505
grid_metacog,prediction_error,0.368661,0.192984,-0.175677,-0.227301,-0.124053,0.0,-0.471633
grid_metacog,transfer_uses,2.675,12.835,10.16,9.318928,11.001072,0.0,1.674177
grid_metacog,transfer_strength,10.475,14.933873,4.458873,2.091727,6.826019,0.000223,0.261061
grid_metacog,transfer_precision,0.424986,0.849113,0.424127,0.352179,0.496074,0.0,0.817
grid_metacog,final_energy,97.0489,138.7636,41.7147,39.808957,43.620443,0.0,3.033653
grid_causal,first_task_success_tick,11.25,12.06,0.81,-0.248724,1.868724,0.133733,0.106034
grid_causal,task_completion_rate,0.5,0.425,-0.075,-0.173184,0.023184,0.134346,-0.105867
grid_causal,reward,2.5794,2.3118,-0.2676,-0.711226,0.176026,0.237089,-0.083601
grid_causal,penalty,5.5305,5.231,-0.2995,-0.610487,0.011487,0.059079,-0.133474
grid_causal,invalid_actions,1.845,1.67,-0.175,-0.415828,0.065828,0.154373,-0.10071
grid_causal,prediction_error,0.368661,0.314261,-0.0544,-0.109437,0.000636,0.052704,-0.13699
grid_causal,transfer_uses,2.675,11.795,9.12,8.394368,9.845632,0.0,1.741884
grid_causal,transfer_strength,10.475,16.392758,5.917758,3.584206,8.25131,1e-06,0.351464
grid_causal,transfer_precision,0.424986,0.818579,0.393593,0.327918,0.459268,0.0,0.830595
grid_causal,final_energy,97.0489,137.4993,40.4504,38.588484,42.312316,0.0,3.010953
grid_planning,first_task_success_tick,11.25,12.455,1.205,0.229215,2.180785,0.015503,0.171149
grid_planning,task_completion_rate,0.5,0.4,-0.1,-0.195253,-0.004747,0.039621,-0.1455
grid_planning,reward,2.5794,2.17295,-0.40645,-0.830649,0.017749,0.060382,-0.132794
grid_planning,penalty,5.5305,5.524,-0.0065,-0.369218,0.356218,0.971981,-0.002484
grid_planning,invalid_actions,1.845,1.96,0.115,-0.162943,0.392943,0.41739,0.057343
grid_planning,prediction_error,0.368661,0.328437,-0.040224,-0.095469,0.015021,0.153553,-0.100911
grid_planning,transfer_uses,2.675,12.185,9.51,8.798413,10.221587,0.0,1.852225
grid_planning,transfer_strength,10.475,16.448062,5.973062,3.677122,8.269003,0.0,0.36056
grid_planning,transfer_precision,0.424986,0.813928,0.388942,0.323802,0.454082,0.0,0.827514
grid_planning,final_energy,97.0489,134.06395,37.01505,34.997567,39.032533,0.0,2.542785
grid_all_engines,first_task_success_tick,11.25,14.11,2.86,1.907264,3.812736,0.0,0.416039
grid_all_engines,task_completion_rate,0.5,0.185,-0.315,-0.400171,-0.229829,0.0,-0.512576
grid_all_engines,reward,2.5794,1.2034,-1.376,-1.765119,-0.986881,0.0,-0.490092
grid_all_engines,penalty,5.5305,3.8655,-1.665,-1.964548,-1.365452,0.0,-0.770352
grid_all_engines,invalid_actions,1.845,0.635,-1.21,-1.431692,-0.988308,0.0,-0.756443
grid_all_engines,prediction_error,0.368661,0.139296,-0.229365,-0.278921,-0.179808,0.0,-0.641456
grid_all_engines,transfer_uses,2.675,12.265,9.59,8.677403,10.502597,0.0,1.456399
grid_all_engines,transfer_strength,10.475,13.937294,3.462294,1.027995,5.896594,0.005308,0.19712
grid_all_engines,transfer_precision,0.424986,0.809939,0.384953,0.311114,0.458792,0.0,0.722543
grid_all_engines,final_energy,97.0489,139.1659,42.117,40.243546,43.990454,0.0,3.115699
all_engines_no_pretrain,first_task_success_tick,11.25,12.2,0.95,-0.138248,2.038248,0.08708,0.120986
all_engines_no_pretrain,task_completion_rate,0.5,0.35,-0.15,-0.243978,-0.056022,0.001758,-0.221211
all_engines_no_pretrain,reward,2.5794,1.9097,-0.6697,-1.098004,-0.241396,0.002179,-0.216705
all_engines_no_pretrain,penalty,5.5305,4.464,-1.0665,-1.411309,-0.721691,0.0,-0.42867
all_engines_no_pretrain,invalid_actions,1.845,0.98,-0.865,-1.101067,-0.628933,0.0,-0.507833
all_engines_no_pretrain,prediction_error,0.368661,0.260783,-0.107878,-0.166084,-0.049671,0.000281,-0.256862
all_engines_no_pretrain,transfer_uses,2.675,2.52,-0.155,-0.839076,0.529076,0.656969,-0.031403
all_engines_no_pretrain,transfer_strength,10.475,9.925,-0.55,-3.258088,2.158088,0.690581,-0.028148
