condition,metric,baseline,condition_value,delta,ci_low,ci_high,p,d
grid_only,first_task_success_tick,11.25,11.555,0.305,-0.821894,1.431894,0.595776,0.037511
grid_only,task_completion_rate,0.5,0.455,-0.045,-0.138512,0.048512,0.345581,-0.066694
grid_only,reward,2.5794,2.44025,-0.13915,-0.561027,0.282727,0.51797,-0.045713
grid_only,invalid_actions,1.845,1.755,-0.09,-0.333519,0.153519,0.468833,-0.051221
grid_only,prediction_error,0.368661,0.351391,-0.01727,-0.073388,0.038849,0.546402,-0.04265
grid_only,transfer_uses,2.675,12.115,9.44,8.637789,10.242211,0.0,1.630888
grid_only,transfer_strength,10.475,17.635738,7.160738,4.462207,9.859269,0.0,0.367766
grid_only,transfer_precision,0.424986,0.809493,0.384507,0.318515,0.450499,0.0,0.807517
grid_only,final_energy,97.0489,135.79675,38.74785,36.624323,40.871377,0.0,2.528896
rules_only,first_task_success_tick,11.25,6.35,-4.9,-6.020262,-3.779738,0.0,-0.606202
rules_only,task_completion_rate,0.5,0.755,0.255,0.164959,0.345041,0.0,0.3925
rules_only,reward,2.5794,3.8612,1.2818,0.873645,1.689955,0.0,0.435247
rules_only,invalid_actions,1.845,1.71,-0.135,-0.38574,0.11574,0.291299,-0.074619
rules_only,prediction_error,0.368661,0.520201,0.15154,0.099859,0.203222,0.0,0.406381
rules_only,transfer_uses,2.675,20.94,18.265,17.143491,19.386509,0.0,2.257138
rules_only,transfer_strength,10.475,41.227457,30.752457,27.39563,34.109285,0.0,1.269673
rules_only,transfer_precision,0.424986,0.843007,0.418021,0.355727,0.480314,0.0,0.930029
rules_only,final_energy,97.0489,90.04475,-7.00415,-7.862191,-6.146109,0.0,-1.131327
grid_plus_rules,first_task_success_tick,11.25,10.215,-1.035,-2.215128,0.145128,0.08562,-0.121549
grid_plus_rules,task_completion_rate,0.5,0.525,0.025,-0.077513,0.127513,0.632658,0.033799
grid_plus_rules,reward,2.5794,2.76205,0.18265,-0.28072,0.64602,0.439766,0.05463
grid_plus_rules,invalid_actions,1.845,1.695,-0.15,-0.409097,0.109097,0.256498,-0.080236
grid_plus_rules,prediction_error,0.368661,0.389101,0.02044,-0.038606,0.079486,0.497454,0.047977
grid_plus_rules,transfer_uses,2.675,31.3,28.625,27.370185,29.879815,0.0,3.161599
grid_plus_rules,transfer_strength,10.475,44.479171,34.004171,30.59847,37.409872,0.0,1.383779
grid_plus_rules,transfer_precision,0.424986,0.85502,0.430034,0.369273,0.490795,0.0,0.980889
grid_plus_rules,final_energy,97.0489,129.9385,32.8896,30.797674,34.981526,0.0,2.17898
rules_plus_grid,first_task_success_tick,11.25,8.015,-3.235,-4.327606,-2.142394,0.0,-0.410348
rules_plus_grid,task_completion_rate,0.5,0.64,0.14,0.050991,0.229009,0.00205,0.21799
rules_plus_grid,reward,2.5794,3.3436,0.7642,0.360288,1.168112,0.000209,0.262217
rules_plus_grid,invalid_actions,1.845,1.615,-0.23,-0.47609,0.01609,0.066973,-0.129531
rules_plus_grid,prediction_error,0.368661,0.459652,0.090992,0.038096,0.143887,0.000747,0.238407
rules_plus_grid,transfer_uses,2.675,27.615,24.94,23.87925,26.00075,0.0,3.25855
rules_plus_grid,transfer_strength,10.475,45.298983,34.823983,31.703904,37.944061,0.0,1.546871
rules_plus_grid,transfer_precision,0.424986,0.8514,0.426414,0.364804,0.488024,0.0,0.959222
rules_plus_grid,final_energy,97.0489,126.52205,29.47315,27.452133,31.494167,0.0,2.021146
logic_same_domain,first_task_success_tick,11.25,11.315,0.065,-1.084442,1.214442,0.911746,0.007837
logic_same_domain,task_completion_rate,0.5,0.435,-0.065,-0.165266,0.035266,0.203865,-0.089846
logic_same_domain,reward,2.5794,2.347,-0.2324,-0.675199,0.210399,0.303624,-0.07274
logic_same_domain,invalid_actions,1.845,1.615,-0.23,-0.479595,0.019595,0.070898,-0.127712
logic_same_domain,prediction_error,0.368661,0.261473,-0.107188,-0.16197,-0.052407,0.000126,-0.271178
logic_same_domain,transfer_uses,2.675,7.865,5.19,4.39921,5.98079,0.0,0.909593
logic_same_domain,transfer_strength,10.475,29.4575,18.9825,15.866912,22.098088,0.0,0.844412
logic_same_domain,transfer_precision,0.424986,0.430606,0.00562,-0.078097,0.089338,0.895316,0.009304
logic_same_domain,final_energy,97.0489,92.44645,-4.60245,-5.38173,-3.82317,0.0,-0.818534
