condition,metric,baseline,condition_value,delta,ci_low,ci_high,p,d
one_domain,first_task_success_tick,11.25,11.555,0.305,-0.821894,1.431894,0.595776,0.037511
one_domain,task_completion_rate,0.5,0.455,-0.045,-0.138512,0.048512,0.345581,-0.066694
one_domain,reward,2.5794,2.44025,-0.13915,-0.561027,0.282727,0.51797,-0.045713
one_domain,invalid_actions,1.845,1.755,-0.09,-0.333519,0.153519,0.468833,-0.051221
one_domain,prediction_error,0.368661,0.351391,-0.01727,-0.073388,0.038849,0.546402,-0.04265
one_domain,transfer_uses,2.675,12.115,9.44,8.637789,10.242211,0.0,1.630888
one_domain,transfer_precision,0.424986,0.809493,0.384507,0.318515,0.450499,0.0,0.807517
two_domains,first_task_success_tick,11.25,10.685,-0.565,-1.647363,0.517363,0.306246,-0.072346
two_domains,task_completion_rate,0.5,0.495,-0.005,-0.103733,0.093733,0.920934,-0.007019
two_domains,reward,2.5794,2.6433,0.0639,-0.37648,0.50428,0.776104,0.02011
two_domains,invalid_actions,1.845,1.795,-0.05,-0.302685,0.202685,0.698138,-0.027424
two_domains,prediction_error,0.368661,0.372126,0.003465,-0.053145,0.060074,0.904513,0.008483
two_domains,transfer_uses,2.675,29.415,26.74,25.65375,27.82625,0.0,3.411715
two_domains,transfer_precision,0.424986,0.842477,0.417491,0.357628,0.477354,0.0,0.966556
three_domains,first_task_success_tick,11.25,4.905,-6.345,-7.486903,-5.203097,0.0,-0.770093
three_domains,task_completion_rate,0.5,0.795,0.295,0.203049,0.386951,0.0,0.44464
three_domains,reward,2.5794,4.09325,1.51385,1.09928,1.92842,0.0,0.506088
three_domains,invalid_actions,1.845,1.61,-0.235,-0.479621,0.009621,0.059713,-0.133142
three_domains,prediction_error,0.368661,0.5608,0.192139,0.14024,0.244037,0.0,0.513099
three_domains,transfer_uses,2.675,50.75,48.075,45.834565,50.315435,0.0,2.973911
three_domains,transfer_precision,0.424986,0.844437,0.419451,0.358633,0.480269,0.0,0.955852
same_domain,first_task_success_tick,11.25,10.725,-0.525,-1.670476,0.620476,0.369017,-0.063521
same_domain,task_completion_rate,0.5,0.475,-0.025,-0.119681,0.069681,0.604789,-0.036595
same_domain,reward,2.5794,2.53845,-0.04095,-0.46642,0.38452,0.850372,-0.013339
same_domain,invalid_actions,1.845,1.67,-0.175,-0.426032,0.076032,0.171827,-0.096616
same_domain,prediction_error,0.368661,0.298674,-0.069987,-0.123145,-0.016828,0.009867,-0.182467
same_domain,transfer_uses,2.675,8.005,5.33,4.581122,6.078878,0.0,0.98641
same_domain,transfer_precision,0.424986,0.452025,0.027039,-0.057233,0.11131,0.529435,0.044468
