condition,metric,fresh,pretrained,delta,ci_low,ci_high,p,d
full,first_task_success_tick,11.5,9.718,-1.782,-2.245117,-1.318883,0.0,-0.238491
full,task_completion_rate,0.519,0.544,0.025,-0.015964,0.065964,0.23163,0.037826
full,contradictions,0.997,1.02,0.023,-0.061901,0.107901,0.595438,0.016791
full,reward,2.6781,2.8959,0.2178,0.033309,0.402291,0.020675,0.073171
full,invalid_actions,1.705,1.691,-0.014,-0.126133,0.098133,0.806682,-0.007738
full,final_energy,97.3011,140.6031,43.302,42.451422,44.152578,0.0,3.155368
full,prediction_error,0.372588,0.397786,0.025198,0.001714,0.048681,0.03546,0.066505
full,transfer_uses,2.791,24.213,21.422,21.021931,21.822069,0.0,3.318805
full,transfer_strength,10.989,31.90811,20.91911,19.628062,22.210159,0.0,1.004285
full,transfer_precision,0.46118,0.849162,0.387982,0.359439,0.416524,0.0,0.842508
no_action_role,first_task_success_tick,11.5,11.707,0.207,-0.24761,0.66161,0.372148,0.028222
no_action_role,task_completion_rate,0.519,0.502,-0.017,-0.061055,0.027055,0.449452,-0.023917
no_action_role,contradictions,0.997,1.025,0.028,-0.057819,0.113819,0.522506,0.020222
no_action_role,reward,2.66184,2.57219,-0.08965,-0.287979,0.108679,0.375631,-0.028017
no_action_role,invalid_actions,1.705,1.702,-0.003,-0.112482,0.106482,0.957168,-0.001698
no_action_role,final_energy,97.33904,139.93839,42.59935,41.771663,43.427037,0.0,3.190018
no_action_role,prediction_error,0.369449,0.358498,-0.010952,-0.035868,0.013965,0.388978,-0.027242
no_action_role,transfer_uses,2.791,23.772,20.981,20.6017,21.3603,0.0,3.428465
no_action_role,transfer_strength,5.757,8.710785,2.953785,2.35352,3.55405,0.0,0.304994
no_action_role,transfer_precision,0.461345,0.812617,0.351273,0.319869,0.382677,0.0,0.693287
no_prior_decay,first_task_success_tick,11.5,9.88,-1.62,-2.084217,-1.155783,0.0,-0.216297
no_prior_decay,task_completion_rate,0.519,0.514,-0.005,-0.046086,0.036086,0.811474,-0.007543
no_prior_decay,contradictions,0.997,1.018,0.021,-0.063903,0.105903,0.627826,0.01533
no_prior_decay,reward,2.67816,2.77276,0.0946,-0.089811,0.279011,0.31468,0.031795
no_prior_decay,invalid_actions,1.705,1.686,-0.019,-0.130976,0.092976,0.739458,-0.010517
no_prior_decay,final_energy,97.30096,140.51296,43.212,42.346775,44.077225,0.0,3.095506
no_prior_decay,prediction_error,0.372589,0.385271,0.012682,-0.011045,0.036409,0.294823,0.033128
no_prior_decay,transfer_uses,2.791,24.154,21.363,20.962023,21.763977,0.0,3.302163
no_prior_decay,transfer_strength,10.989,31.647989,20.658989,19.363679,21.954299,0.0,0.988533
no_prior_decay,transfer_precision,0.46118,0.849529,0.388348,0.359832,0.416864,0.0,0.844095
no_pattern_transfer,first_task_success_tick,11.5,11.668,0.168,-0.289114,0.625114,0.471312,0.022779
no_pattern_transfer,task_completion_rate,0.519,0.502,-0.017,-0.061055,0.027055,0.449452,-0.023917
no_pattern_transfer,contradictions,0.994,1.029,0.035,-0.050697,0.120697,0.423423,0.025314
no_pattern_transfer,reward,2.63838,2.55232,-0.08606,-0.282573,0.110453,0.390698,-0.027143
no_pattern_transfer,invalid_actions,1.699,1.707,0.008,-0.101428,0.117428,0.886061,0.004531
no_pattern_transfer,final_energy,97.39978,139.92582,42.52604,41.701682,43.350398,0.0,3.197385
no_pattern_transfer,prediction_error,0.355868,0.34756,-0.008308,-0.032046,0.01543,0.492724,-0.021693
no_pattern_transfer,transfer_uses,0.0,0.0,0.0,0.0,0.0,1.0,0.0
no_pattern_transfer,transfer_strength,0.0,0.0,0.0,0.0,0.0,1.0,0.0
no_pattern_transfer,transfer_precision,0.0,0.0,0.0,0.0,0.0,1.0,0.0
no_prediction,first_task_success_tick,11.467,9.36,-2.107,-2.570329,-1.643671,0.0,-0.281858
no_prediction,task_completion_rate,0.521,0.57,0.049,0.008497,0.089503,0.01773,0.074984
no_prediction,contradictions,0.978,1.001,0.023,-0.063249,0.109249,0.601202,0.016528
no_prediction,reward,2.69081,3.01581,0.325,0.142621,0.507379,0.000478,0.11045
no_prediction,invalid_actions,1.678,1.636,-0.042,-0.155267,0.071267,0.46736,-0.022983
no_prediction,final_energy,97.34011,137.63811,40.298,39.537161,41.058839,0.0,3.282817
no_prediction,prediction_error,0.293921,0.320221,0.0263,0.012926,0.039674,0.000116,0.121881
no_prediction,transfer_uses,2.902,25.163,22.261,21.860696,22.661304,0.0,3.44676
no_prediction,transfer_strength,11.44,33.288744,21.848744,20.482301,23.215187,0.0,0.99104
no_prediction,transfer_precision,0.470978,0.855121,0.384143,0.355514,0.412772,0.0,0.831645
empty_pretrain,first_task_success_tick,11.5,11.697,0.197,-0.24845,0.64245,0.386047,0.027411
empty_pretrain,task_completion_rate,0.519,0.504,-0.015,-0.058442,0.028442,0.49856,-0.021401
empty_pretrain,contradictions,0.997,1.035,0.038,-0.048385,0.124385,0.388583,0.027265
empty_pretrain,reward,2.6781,2.60372,-0.07438,-0.271563,0.122803,0.459703,-0.02338
empty_pretrain,invalid_actions,1.705,1.697,-0.008,-0.115083,0.099083,0.883584,-0.00463
empty_pretrain,final_energy,97.3011,115.25132,17.95022,17.716753,18.183687,0.0,4.765416
empty_pretrain,prediction_error,0.372588,0.362792,-0.009796,-0.034841,0.01525,0.443342,-0.024241
empty_pretrain,transfer_uses,2.791,2.677,-0.114,-0.387464,0.159464,0.413886,-0.025838
