condition,metric,fresh,condition,delta,ci_low,ci_high,p,d
fresh,reward,6.0,6.0,0.0,0.0,0.0,1.0,0.0
fresh,penalty,6.0,6.0,0.0,0.0,0.0,1.0,0.0
fresh,task_completion_rate,0.0,0.0,0.0,0.0,0.0,1.0,0.0
fresh,first_success_tick,31.0,31.0,0.0,0.0,0.0,1.0,0.0
fresh,invalid_actions,0.0,0.0,0.0,0.0,0.0,1.0,0.0
fresh,final_energy,100.0,100.0,0.0,0.0,0.0,1.0,0.0
fresh,prediction_error,0.006667,0.006667,0.0,0.0,0.0,1.0,0.0
fresh,transfer_uses,0.0,0.0,0.0,0.0,0.0,1.0,0.0
fresh,transfer_strength,0.0,0.0,0.0,0.0,0.0,1.0,0.0
fresh,transfer_precision,0.0,0.0,0.0,0.0,0.0,1.0,0.0
fresh,policy_sequences,0.0,0.0,0.0,0.0,0.0,1.0,0.0
fresh,discovered_roles,0.0,0.0,0.0,0.0,0.0,1.0,0.0
fresh,structural_recall,0.234,0.234,0.0,0.0,0.0,1.0,0.0
fresh,causal_intervention_effects,0.0,0.0,0.0,0.0,0.0,1.0,0.0
fresh,curiosity_average,0.0,0.0,0.0,0.0,0.0,1.0,0.0
fresh,exploration_rate_agi,0.0,0.0,0.0,0.0,0.0,1.0,0.0
fresh,self_evaluator_total_outcomes,0.0,0.0,0.0,0.0,0.0,1.0,0.0
v2_structural,reward,6.0,9.12,3.12,0.142002,6.097998,0.038021,0.207463
v2_structural,penalty,6.0,10.95,4.95,3.99705,5.90295,0.0,1.028595
v2_structural,task_completion_rate,0.0,0.0,0.0,0.0,0.0,1.0,0.0
v2_structural,first_success_tick,31.0,31.0,0.0,0.0,0.0,1.0,0.0
v2_structural,invalid_actions,0.0,0.0,0.0,0.0,0.0,1.0,0.0
v2_structural,final_energy,100.0,181.736,81.736,74.800768,88.671232,0.0,2.333791
v2_structural,prediction_error,0.006667,0.010133,0.003467,0.000158,0.006776,0.038021,0.207463
v2_structural,transfer_uses,0.0,0.0,0.0,0.0,0.0,1.0,0.0
v2_structural,transfer_strength,0.0,0.0,0.0,0.0,0.0,1.0,0.0
v2_structural,transfer_precision,0.0,0.56,0.56,0.46121,0.65879,0.0,1.122497
v2_structural,policy_sequences,0.0,291.56,291.56,286.975646,296.144354,0.0,12.593873
v2_structural,discovered_roles,0.0,3.1,3.1,3.033993,3.166007,0.0,9.3
v2_structural,structural_recall,0.234,0.625,0.391,0.391,0.391,0.0,0.0
v2_structural,causal_intervention_effects,0.0,0.0,0.0,0.0,0.0,1.0,0.0
v2_structural,curiosity_average,0.0,0.0,0.0,0.0,0.0,1.0,0.0
v2_structural,exploration_rate_agi,0.0,0.0,0.0,0.0,0.0,1.0,0.0
v2_structural,self_evaluator_total_outcomes,0.0,0.0,0.0,0.0,0.0,1.0,0.0
