condition,metric,fresh,pretrained,delta,ci_low,ci_high,p,d
fresh,first_task_success_tick,11.75,11.75,0.0,0.0,0.0,1.0,0.0
fresh,task_completion_rate,0.5,0.5,0.0,0.0,0.0,1.0,0.0
fresh,reward,2.5794,2.5794,0.0,0.0,0.0,1.0,0.0
fresh,penalty,5.5305,5.5305,0.0,0.0,0.0,1.0,0.0
fresh,invalid_actions,1.845,1.845,0.0,0.0,0.0,1.0,0.0
fresh,final_energy,97.0489,97.0489,0.0,0.0,0.0,1.0,0.0
fresh,prediction_error,0.368321,0.368321,0.0,0.0,0.0,1.0,0.0
fresh,transfer_uses,2.675,2.675,0.0,0.0,0.0,1.0,0.0
fresh,transfer_strength,10.475,10.475,0.0,0.0,0.0,1.0,0.0
fresh,transfer_precision,0.424986,0.424986,0.0,0.0,0.0,1.0,0.0
grid_standard,first_task_success_tick,11.75,9.41,-2.34,-3.327891,-1.352109,3e-06,-0.328283
grid_standard,task_completion_rate,0.5,0.56,0.06,-0.025242,0.145242,0.16771,0.097552
grid_standard,reward,2.5794,2.963,0.3836,0.002271,0.764929,0.048647,0.139418
grid_standard,penalty,5.5305,5.7925,0.262,-0.078528,0.602528,0.131552,0.106632
grid_standard,invalid_actions,1.845,1.755,-0.09,-0.348142,0.168142,0.494389,-0.04832
grid_standard,final_energy,97.0489,139.8755,42.8266,40.750694,44.902506,0.0,2.859217
grid_standard,prediction_error,0.368321,0.428156,0.059835,0.009503,0.110167,0.019802,0.164762
grid_standard,transfer_uses,2.675,24.88,22.205,21.392429,23.017571,0.0,3.787306
grid_standard,transfer_strength,10.475,33.27344,22.79844,20.035115,25.561764,0.0,1.143442
grid_standard,transfer_precision,0.424986,0.840115,0.415129,0.353307,0.476951,0.0,0.930636
danger_only,first_task_success_tick,11.75,14.18,2.43,1.636271,3.223729,0.0,0.424302
danger_only,task_completion_rate,0.5,0.24,-0.26,-0.347035,-0.172965,0.0,-0.414019
danger_only,reward,2.5794,1.49175,-1.08765,-1.476127,-0.699173,0.0,-0.38803
danger_only,penalty,5.5305,5.175,-0.3555,-0.671616,-0.039384,0.027511,-0.15586
danger_only,invalid_actions,1.845,1.715,-0.13,-0.363036,0.103036,0.27422,-0.077315
danger_only,final_energy,97.0489,150.81325,53.76435,52.472367,55.056333,0.0,5.767383
danger_only,prediction_error,0.368321,0.239734,-0.128587,-0.181811,-0.075364,2e-06,-0.334841
danger_only,transfer_uses,2.675,23.215,20.54,19.904836,21.175164,0.0,4.481831
danger_only,transfer_strength,10.475,24.693517,14.218517,12.238615,16.198419,0.0,0.995295
danger_only,transfer_precision,0.424986,0.855877,0.430891,0.37037,0.491412,0.0,0.986739
approach_only,first_task_success_tick,11.75,4.065,-7.685,-8.547952,-6.822048,0.0,-1.234236
approach_only,task_completion_rate,0.5,0.89,0.39,0.311662,0.468338,0.0,0.689971
approach_only,reward,2.5794,4.5097,1.9303,1.582157,2.278443,0.0,0.768437
approach_only,penalty,5.5305,6.434,0.9035,0.608722,1.198278,0.0,0.424789
approach_only,invalid_actions,1.845,1.865,0.02,-0.214954,0.254954,0.867495,0.011797
approach_only,final_energy,97.0489,116.3657,19.3168,18.111142,20.522458,0.0,2.220507
approach_only,prediction_error,0.368321,0.608097,0.239776,0.194714,0.284837,0.0,0.737465
approach_only,transfer_uses,2.675,25.795,23.12,22.176168,24.063832,0.0,3.394957
approach_only,transfer_strength,10.475,45.992244,35.517244,32.88183,38.152658,0.0,1.867805
approach_only,transfer_precision,0.424986,0.817897,0.392911,0.332593,0.45323,0.0,0.902788
role_balanced,first_task_success_tick,11.75,12.71,0.96,0.053702,1.866298,0.037881,0.146805
role_balanced,task_completion_rate,0.5,0.395,-0.105,-0.195469,-0.014531,0.022917,-0.160854
role_balanced,reward,2.5794,2.1217,-0.4577,-0.865038,-0.050362,0.027642,-0.155728
role_balanced,penalty,5.5305,5.4465,-0.084,-0.407545,0.239545,0.610849,-0.035982
role_balanced,invalid_actions,1.845,1.835,-0.01,-0.244966,0.224966,0.93352,-0.005898
role_balanced,final_energy,97.0489,130.9772,33.9283,32.483555,35.373045,0.0,3.254708
role_balanced,prediction_error,0.368321,0.318194,-0.050127,-0.103942,0.003687,0.067894,-0.129097
role_balanced,transfer_uses,2.675,11.675,9.0,8.222553,9.777447,0.0,1.604399
role_balanced,transfer_strength,10.475,15.283504,4.808504,2.653792,6.963216,1.2e-05,0.309287
role_balanced,transfer_precision,0.424986,0.801334,0.376348,0.305676,0.44702,0.0,0.738047
logic_same_domain,first_task_success_tick,11.75,7.335,-4.415,-5.337913,-3.492087,0.0,-0.662996
logic_same_domain,task_completion_rate,0.5,0.715,0.215,0.135333,0.294667,0.0,0.374025
logic_same_domain,reward,2.5794,3.64905,1.06965,0.711037,1.428263,0.0,0.413387
logic_same_domain,penalty,5.5305,6.166,0.6355,0.250484,1.020516,0.001216,0.228759
logic_same_domain,invalid_actions,1.845,1.89,0.045,-0.204822,0.294822,0.72405,0.024965
logic_same_domain,final_energy,97.0489,101.92395,4.87505,3.448918,6.301182,0.0,0.473762
logic_same_domain,prediction_error,0.368321,0.50945,0.141129,0.093616,0.188642,0.0,0.411664
logic_same_domain,transfer_uses,2.675,8.21,5.535,4.985898,6.084102,0.0,1.39703
logic_same_domain,transfer_strength,10.475,28.899486,18.424486,15.984809,20.864163,0.0,1.046656
logic_same_domain,transfer_precision,0.424986,0.668369,0.243383,0.170773,0.315993,0.0,0.464555
