condition,metric,fresh,condition,delta,ci_low,ci_high,p,d
fresh,reward,4.0,4.0,0.0,0.0,0.0,1.0,0.0
fresh,penalty,4.0,4.0,0.0,0.0,0.0,1.0,0.0
fresh,task_completion_rate,0.0,0.0,0.0,0.0,0.0,1.0,0.0
fresh,first_success_tick,21.0,21.0,0.0,0.0,0.0,1.0,0.0
fresh,invalid_actions,0.0,0.0,0.0,0.0,0.0,1.0,0.0
fresh,final_energy,100.0,100.0,0.0,0.0,0.0,1.0,0.0
fresh,prediction_error,0.01,0.01,0.0,0.0,0.0,1.0,0.0
fresh,transfer_uses,0.0,0.0,0.0,0.0,0.0,1.0,0.0
fresh,transfer_strength,0.0,0.0,0.0,0.0,0.0,1.0,0.0
fresh,transfer_precision,0.0,0.0,0.0,0.0,0.0,1.0,0.0
fresh,policy_sequences,0.0,0.0,0.0,0.0,0.0,1.0,0.0
fresh,discovered_roles,0.0,0.0,0.0,0.0,0.0,1.0,0.0
fresh,structural_recall,0.156,0.156,0.0,0.0,0.0,1.0,0.0
v2_structural,reward,4.0,5.9105,1.9105,0.631264,3.189736,0.00342,0.206984
v2_structural,penalty,4.0,6.994,2.994,2.550712,3.437288,0.0,0.936068
v2_structural,task_completion_rate,0.0,0.0,0.0,0.0,0.0,1.0,0.0
v2_structural,first_success_tick,21.0,21.0,0.0,0.0,0.0,1.0,0.0
v2_structural,invalid_actions,0.0,0.0,0.0,0.0,0.0,1.0,0.0
v2_structural,final_energy,100.0,143.9865,43.9865,40.720315,47.252685,0.0,1.866464
v2_structural,prediction_error,0.01,0.01485,0.00485,0.001651,0.008049,0.002966,0.210098
v2_structural,transfer_uses,0.0,0.0,0.0,0.0,0.0,1.0,0.0
v2_structural,transfer_strength,0.0,0.0,0.0,0.0,0.0,1.0,0.0
v2_structural,transfer_precision,0.0,0.54,0.54,0.470752,0.609248,0.0,1.080761
v2_structural,policy_sequences,0.0,135.925,135.925,133.890909,137.959091,0.0,9.261259
v2_structural,discovered_roles,0.0,3.025,3.025,2.974068,3.075932,0.0,8.231475
v2_structural,structural_recall,0.156,0.391,0.235,0.235,0.235,0.0,0.0
legacy_role_hint,reward,4.0,5.89,1.89,0.610478,3.169522,0.00379,0.204718
legacy_role_hint,penalty,4.0,6.83,2.83,2.423231,3.236769,0.0,0.964228
legacy_role_hint,task_completion_rate,0.0,0.0,0.0,0.0,0.0,1.0,0.0
legacy_role_hint,first_success_tick,21.0,21.0,0.0,0.0,0.0,1.0,0.0
legacy_role_hint,invalid_actions,0.0,0.0,0.0,0.0,0.0,1.0,0.0
legacy_role_hint,final_energy,100.0,127.5895,27.5895,24.762167,30.416833,0.0,1.352409
