condition,metric,condition_mean,baseline_mean,delta,ci_low,ci_high,p,d
TAIS_full,first_task_success_tick,8.6,11.0,-2.4,-3.567185,-1.232815,5.6e-05,-0.284979
TAIS_full,task_completion_rate,0.62,0.49,0.13,0.034433,0.225567,0.007671,0.188529
TAIS_full,contradictions,1.0,3.39,-2.39,-2.679714,-2.100286,0.0,-1.143325
TAIS_full,reward,3.2638,2.60075,0.66305,0.261488,1.064612,0.001211,0.228842
TAIS_full,invalid_actions,1.605,6.1,-4.495,-4.844567,-4.145433,0.0,-1.782134
TAIS_full,final_energy,142.6948,123.92675,18.76805,16.46615,21.06995,0.0,1.129988
TAIS_full,prediction_error,0.453809,0.0,0.453809,0.412368,0.495251,0.0,1.517666
TAIS_full,transfer_uses,24.455,0.0,24.455,23.732535,25.177465,0.0,4.691288
TAIS_full,transfer_strength,34.447827,0.0,34.447827,32.041253,36.854401,0.0,1.983827
TAIS_full,transfer_precision,0.845291,0.0,0.845291,0.831472,0.85911,0.0,8.477561
TAIS_no_pattern_transfer,first_task_success_tick,10.665,11.0,-0.335,-1.400439,0.730439,0.537715,-0.043577
TAIS_no_pattern_transfer,task_completion_rate,0.555,0.49,0.065,-0.030331,0.160331,0.181422,0.094497
TAIS_no_pattern_transfer,contradictions,1.05,3.39,-2.34,-2.639429,-2.040571,0.0,-1.083085
TAIS_no_pattern_transfer,reward,2.8128,2.60075,0.21205,-0.194472,0.618572,0.306603,0.072293
TAIS_no_pattern_transfer,invalid_actions,1.665,6.1,-4.435,-4.78857,-4.08143,0.0,-1.738438
TAIS_no_pattern_transfer,final_energy,141.9543,123.92675,18.02755,15.721983,20.333117,0.0,1.083678
TAIS_no_pattern_transfer,prediction_error,0.390325,0.0,0.390325,0.35112,0.429531,0.0,1.37981
TAIS_no_pattern_transfer,transfer_uses,0.0,0.0,0.0,0.0,0.0,1.0,0.0
TAIS_no_pattern_transfer,transfer_strength,0.0,0.0,0.0,0.0,0.0,1.0,0.0
TAIS_no_pattern_transfer,transfer_precision,0.0,0.0,0.0,0.0,0.0,1.0,0.0
HeuristicAgent,first_task_success_tick,2.0,11.0,-9.0,-9.780916,-8.219084,0.0,-1.597273
HeuristicAgent,task_completion_rate,1.0,0.49,0.51,0.440544,0.579456,0.0,1.01765
HeuristicAgent,contradictions,0.0,3.39,-3.39,-3.634548,-3.145452,0.0,-1.921222
HeuristicAgent,reward,5.15,2.60075,2.54925,2.265445,2.833055,0.0,1.244896
HeuristicAgent,invalid_actions,0.0,6.1,-6.1,-6.388448,-5.811552,0.0,-2.930912
HeuristicAgent,final_energy,126.65,123.92675,2.72325,0.930123,4.516377,0.002914,0.210483
HeuristicAgent,prediction_error,0.0,0.0,0.0,0.0,0.0,1.0,0.0
HeuristicAgent,transfer_uses,0.0,0.0,0.0,0.0,0.0,1.0,0.0
HeuristicAgent,transfer_strength,0.0,0.0,0.0,0.0,0.0,1.0,0.0
HeuristicAgent,transfer_precision,0.0,0.0,0.0,0.0,0.0,1.0,0.0
TabularQAgent,first_task_success_tick,3.455,11.0,-7.545,-8.471725,-6.618275,0.0,-1.128365
TabularQAgent,task_completion_rate,0.935,0.49,0.445,0.368019,0.521981,0.0,0.801161
TabularQAgent,contradictions,0.675,3.39,-2.715,-2.972838,-2.457162,0.0,-1.459365
TabularQAgent,reward,4.769,2.60075,2.16825,1.849124,2.487376,0.0,0.941647
TabularQAgent,invalid_actions,0.975,6.1,-5.125,-5.435351,-4.814649,0.0,-2.288666
TabularQAgent,final_energy,159.9335,123.92675,36.00675,34.001611,38.011889,0.0,2.488745
TabularQAgent,prediction_error,0.0,0.0,0.0,0.0,0.0,1.0,0.0
TabularQAgent,transfer_uses,0.0,0.0,0.0,0.0,0.0,1.0,0.0
TabularQAgent,transfer_strength,0.0,0.0,0.0,0.0,0.0,1.0,0.0
TabularQAgent,transfer_precision,0.0,0.0,0.0,0.0,0.0,1.0,0.0
