target,condition,metric,condition_mean,baseline,delta,ci_low,ci_high,p,d
logic_large,grid_pretrain,first_task_success_tick,19.84,fresh,1.58,-1.508969,4.668969,0.311123,0.101287
logic_large,grid_pretrain,task_completion_rate,0.49,fresh,-0.28,-0.412253,-0.147747,2.8e-05,-0.419238
logic_large,grid_pretrain,contradictions,1.9,fresh,0.13,-0.268687,0.528687,0.518483,0.064569
logic_large,grid_pretrain,reward,3.7886,fresh,-1.0761,-1.761242,-0.390958,0.00187,-0.311015
logic_large,grid_pretrain,invalid_actions,2.67,fresh,-0.15,-0.575335,0.275335,0.484962,-0.069834
logic_large,grid_pretrain,final_energy,136.2626,fresh,41.9919,39.442492,44.541308,0.0,3.261638
logic_large,grid_pretrain,prediction_error,0.198016,fresh,-0.066726,-0.103948,-0.029504,0.000386,-0.354978
logic_large,grid_pretrain,transfer_uses,51.23,fresh,42.2,39.341201,45.058799,0.0,2.923064
logic_large,grid_pretrain,transfer_strength,68.386305,fresh,32.386305,22.106636,42.665974,0.0,0.623867
logic_large,grid_pretrain,transfer_precision,0.874067,fresh,0.218209,0.141981,0.294436,0.0,0.566854
logic_large,grid_pretrain,hazard_steps,0.0,fresh,0.0,0.0,0.0,1.0,0.0
logic_large,rules_pretrain,first_task_success_tick,15.73,fresh,-2.53,-5.465422,0.405422,0.087876,-0.170671
logic_large,rules_pretrain,task_completion_rate,0.8,fresh,0.03,-0.094143,0.154143,0.632274,0.047853
logic_large,rules_pretrain,contradictions,1.87,fresh,0.1,-0.303471,0.503471,0.623574,0.049079
logic_large,rules_pretrain,reward,5.1485,fresh,0.2838,-0.382829,0.950429,0.399217,0.084302
logic_large,rules_pretrain,invalid_actions,2.65,fresh,-0.17,-0.600592,0.260592,0.434335,-0.078179
logic_large,rules_pretrain,final_energy,85.446,fresh,-8.8247,-10.028592,-7.620808,0.0,-1.451516
logic_large,rules_pretrain,prediction_error,0.278154,fresh,0.013412,-0.022478,0.049303,0.459287,0.074002
logic_large,rules_pretrain,transfer_uses,28.45,fresh,19.42,16.547631,22.292369,0.0,1.338808
logic_large,rules_pretrain,transfer_strength,56.182915,fresh,20.182915,10.659555,29.706275,2.7e-05,0.419665
logic_large,rules_pretrain,transfer_precision,0.81568,fresh,0.159822,0.066677,0.252966,0.00068,0.339772
logic_large,rules_pretrain,hazard_steps,0.0,fresh,0.0,0.0,0.0,1.0,0.0
logic_large,three_domain_pretrain,first_task_success_tick,16.14,fresh,-2.12,-5.17611,0.93611,0.16955,-0.137365
logic_large,three_domain_pretrain,task_completion_rate,0.69,fresh,-0.08,-0.198344,0.038344,0.1807,-0.13386
